# Solver information
# Time        	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.39          	smoothSolver	1.885910e-03	9.958960e-08	638	true	smoothSolver	5.671260e-03	9.990200e-08	326	true	GAMG	6.680320e-03	2.452850e-05	2	true
0.4           	smoothSolver	1.834250e-03	9.982840e-08	641	true	smoothSolver	5.734120e-03	9.844120e-08	328	true	GAMG	7.024400e-03	1.732950e-05	2	true
0.408333      	smoothSolver	1.724670e-03	9.902040e-08	529	true	smoothSolver	4.965560e-03	9.971050e-08	276	true	GAMG	4.857750e-03	1.762020e-05	2	true
0.416667      	smoothSolver	1.727040e-03	9.975530e-08	535	true	smoothSolver	4.855150e-03	9.807530e-08	278	true	GAMG	5.111960e-03	1.707410e-05	2	true
0.425         	smoothSolver	1.795370e-03	9.901640e-08	533	true	smoothSolver	4.726420e-03	9.882940e-08	285	true	GAMG	5.873170e-03	2.160540e-05	2	true
0.433333      	smoothSolver	1.798780e-03	9.880400e-08	532	true	smoothSolver	4.696850e-03	9.902240e-08	289	true	GAMG	6.741540e-03	2.537330e-05	2	true
0.441667      	smoothSolver	1.754470e-03	9.903390e-08	519	true	smoothSolver	4.619030e-03	9.921810e-08	285	true	GAMG	7.433830e-03	2.989830e-05	2	true
0.45          	smoothSolver	1.781970e-03	9.890660e-08	520	true	smoothSolver	4.501730e-03	9.950230e-08	289	true	GAMG	8.310830e-03	3.231470e-05	2	true
0.457143      	smoothSolver	1.694710e-03	9.991070e-08	454	true	smoothSolver	4.125570e-03	9.879950e-08	254	true	GAMG	7.456070e-03	3.087790e-05	2	true
0.464286      	smoothSolver	1.647520e-03	9.944020e-08	456	true	smoothSolver	4.052500e-03	9.983650e-08	256	true	GAMG	8.206410e-03	3.281710e-05	2	true
