# y+ ()         
# Time          	patch           	min             	max             	average         
1.25            	lowerWall	4.98373976e-01	8.83894459e+01	9.14983034e+00
1.3             	rightWall	5.27160318e-01	5.37177685e+00	3.22926976e+00
1.3             	leftWall	1.71905417e-01	1.31519272e+01	3.26150256e+00
1.3             	lowerWall	3.97481004e-01	8.99111087e+01	1.00361392e+01
1.35            	rightWall	4.51759258e-01	6.11121868e+00	3.45561399e+00
1.35            	leftWall	2.54279575e-01	1.31567367e+01	3.25476987e+00
1.35            	lowerWall	4.41873780e-01	9.11927653e+01	1.11610967e+01
1.4             	rightWall	5.52730136e-01	6.75835824e+00	3.64358013e+00
1.4             	leftWall	2.51023489e-01	1.31545627e+01	3.20649226e+00
1.4             	lowerWall	3.66597408e-01	9.24879259e+01	1.24093504e+01
1.45            	rightWall	5.66849181e-01	7.34522209e+00	3.79300561e+00
1.45            	leftWall	2.12871572e-01	1.31476293e+01	3.23032703e+00
1.45            	lowerWall	2.01212970e+00	9.54912256e+01	1.40604357e+01
1.5             	rightWall	4.83952804e-01	1.25599016e+01	4.02180752e+00
1.5             	leftWall	3.06959000e-01	1.31459878e+01	3.23755368e+00
1.5             	lowerWall	2.10482575e+00	9.84191440e+01	1.55491212e+01
1.55            	rightWall	3.59137668e-01	1.87725704e+01	4.37730311e+00
1.55            	leftWall	2.62195585e-01	1.31444684e+01	3.26268141e+00
1.55            	lowerWall	2.02823299e+00	1.01260013e+02	1.69548738e+01
1.6             	rightWall	2.86569164e-01	2.45749358e+01	4.85887400e+00
1.6             	leftWall	2.51069139e-01	1.31390828e+01	3.27786752e+00
1.6             	lowerWall	1.95923208e+00	1.03947670e+02	1.82356955e+01
1.65            	rightWall	1.98594931e-01	2.89139292e+01	5.23509402e+00
1.65            	leftWall	1.60643861e-01	1.31325567e+01	3.40401100e+00
1.65            	lowerWall	1.89536097e+00	1.06375839e+02	1.94197800e+01
1.7             	rightWall	1.94637327e-01	3.19943574e+01	5.65099410e+00
1.7             	leftWall	1.56081372e-01	1.31262990e+01	3.42708611e+00
1.7             	lowerWall	1.80505123e+00	1.08443905e+02	2.05176725e+01
1.75            	rightWall	2.08088785e-01	3.42469672e+01	6.04076431e+00
1.75            	leftWall	1.69437132e-01	1.31218379e+01	3.50960139e+00
1.75            	lowerWall	1.21425309e+00	1.10242659e+02	2.15212031e+01
1.8             	rightWall	1.68301090e-01	3.59434532e+01	6.37243248e+00
1.8             	leftWall	2.88880909e-01	1.32142487e+01	3.63110967e+00
1.8             	lowerWall	1.53149072e+00	1.11776279e+02	2.24454757e+01
1.85            	rightWall	3.16275327e-01	3.72391936e+01	6.61431428e+00
1.85            	leftWall	2.60206397e-01	1.38046311e+01	3.66888817e+00
1.85            	lowerWall	1.65069804e+00	1.13033491e+02	2.33204158e+01
1.9             	rightWall	3.26434741e-01	3.82250036e+01	6.94488870e+00
1.9             	leftWall	2.46374671e-01	1.45585656e+01	3.75637288e+00
1.9             	lowerWall	1.55599673e+00	1.13707984e+02	2.41415430e+01
1.95            	rightWall	3.28010502e-01	3.89546053e+01	7.18662710e+00
1.95            	leftWall	2.85764545e-01	1.53608834e+01	3.83118517e+00
1.95            	lowerWall	1.41133159e+00	1.13807760e+02	2.49359248e+01
2               	rightWall	3.37537426e-01	3.95236814e+01	7.29712585e+00
2               	leftWall	3.53984777e-01	1.62655596e+01	3.94124860e+00
2               	lowerWall	1.23273589e+00	1.13997593e+02	2.56877577e+01
2.05            	rightWall	3.94085557e-01	3.98948848e+01	7.43262239e+00
2.05            	leftWall	3.52878044e-01	1.72778122e+01	4.02217451e+00
2.05            	lowerWall	1.00739798e+00	1.13488446e+02	2.64265426e+01
2.1             	rightWall	3.33705609e-01	4.00732682e+01	7.49475509e+00
2.1             	leftWall	2.55638269e-01	1.82628010e+01	4.19187246e+00
2.1             	lowerWall	6.81256953e-01	1.12153176e+02	2.70962272e+01
2.15            	rightWall	3.38879999e-01	4.00791457e+01	7.50630526e+00
2.15            	leftWall	2.57652481e-01	1.94749726e+01	4.28867616e+00
2.15            	lowerWall	3.43729269e-01	1.11073353e+02	2.77359813e+01
2.2             	rightWall	3.95664649e-01	3.99304999e+01	7.47430454e+00
2.2             	leftWall	3.17360216e-01	2.05434849e+01	4.51115919e+00
2.2             	lowerWall	8.13490544e-01	1.09853400e+02	2.83827153e+01
2.25            	rightWall	3.76638967e-01	3.96546264e+01	7.40182172e+00
2.25            	leftWall	4.45774136e-01	2.18985309e+01	4.65994833e+00
2.25            	lowerWall	5.08189413e-01	1.09693785e+02	2.90122782e+01
2.3             	rightWall	4.43327637e-01	3.92761183e+01	7.25387862e+00
2.3             	leftWall	6.44894703e-01	2.31524565e+01	4.95426299e+00
2.3             	lowerWall	5.74089463e-01	1.10945824e+02	2.94799028e+01
2.35            	rightWall	3.34812360e-01	3.87564837e+01	7.20933002e+00
2.35            	leftWall	8.34879664e-01	2.45798212e+01	5.20657488e+00
2.35            	lowerWall	4.89605354e-01	9.72803534e+01	2.98241865e+01
2.4             	rightWall	3.27055313e-01	3.81049781e+01	7.29530721e+00
2.4             	leftWall	1.30440286e+00	2.59370290e+01	5.64001139e+00
2.4             	lowerWall	7.56330483e-01	8.97433328e+01	2.99229523e+01
2.45            	rightWall	4.56398664e-01	3.73754039e+01	7.19019693e+00
2.45            	leftWall	1.39204716e+00	2.74993145e+01	5.93036653e+00
2.45            	lowerWall	7.38703928e-01	8.04833848e+01	3.00329694e+01
2.5             	rightWall	5.83478170e-01	3.65998536e+01	7.30924564e+00
2.5             	leftWall	1.43945089e+00	2.88999816e+01	6.45581858e+00
2.5             	lowerWall	1.27927830e+00	7.83560585e+01	3.01468727e+01
2.55            	rightWall	6.16196862e-01	3.57832765e+01	7.27047694e+00
2.55            	leftWall	1.42900637e+00	3.04962158e+01	6.88845957e+00
2.55            	lowerWall	1.39151026e+00	8.15795917e+01	3.01271537e+01
2.6             	rightWall	6.37029446e-01	3.48817164e+01	7.35795343e+00
2.6             	leftWall	1.41488881e+00	3.18959374e+01	7.53640959e+00
2.6             	lowerWall	1.84711482e+00	8.32375248e+01	2.99488099e+01
2.65            	rightWall	6.19296001e-01	3.40723345e+01	7.45335898e+00
2.65            	leftWall	1.28631196e+00	3.34805253e+01	8.10055925e+00
2.65            	lowerWall	1.55669119e+00	9.94068858e+01	2.99908687e+01
2.7             	rightWall	7.57503129e-01	3.34719497e+01	7.44848409e+00
2.7             	leftWall	1.01110719e+00	3.48577682e+01	8.77477320e+00
2.7             	lowerWall	1.92142058e+00	8.53014434e+01	3.00463435e+01
2.75            	rightWall	6.56121345e-01	3.29868661e+01	7.52435177e+00
2.75            	leftWall	4.84144156e-01	3.62417043e+01	9.43937216e+00
2.75            	lowerWall	2.01312230e+00	9.06587231e+01	3.01731362e+01
2.8             	rightWall	5.22356591e-01	3.26220008e+01	7.60209886e+00
2.8             	leftWall	4.61140348e-01	3.74384830e+01	1.01547332e+01
2.8             	lowerWall	1.87704247e+00	7.71525536e+01	2.99921371e+01
2.85            	rightWall	2.38224812e-01	3.23024522e+01	7.77857591e+00
2.85            	leftWall	6.36123660e-01	3.88072993e+01	1.07928798e+01
2.85            	lowerWall	2.09855544e+00	7.40020809e+01	2.99030559e+01
2.9             	rightWall	3.92482012e-01	3.27455705e+01	8.00730227e+00
2.9             	leftWall	5.43302877e-01	4.02079027e+01	1.14253140e+01
2.9             	lowerWall	2.03861681e+00	7.76104095e+01	3.03160850e+01
2.95            	rightWall	4.33802908e-01	3.23897998e+01	8.29151138e+00
2.95            	leftWall	5.92288616e-01	4.14973522e+01	1.19675063e+01
2.95            	lowerWall	1.91307409e+00	7.30568323e+01	3.02154934e+01
3               	rightWall	3.52764781e-01	3.26319361e+01	8.53257883e+00
3               	leftWall	6.85920490e-01	4.27699235e+01	1.25131117e+01
3               	lowerWall	2.00831501e+00	7.84338035e+01	3.02499031e+01
3.05            	rightWall	2.65003774e-01	3.25567159e+01	8.93323964e+00
3.05            	leftWall	7.32560174e-01	4.39244812e+01	1.29761982e+01
3.05            	lowerWall	2.19667362e+00	9.07433344e+01	3.02792376e+01
3.1             	rightWall	2.84479367e-01	3.24616949e+01	9.22578760e+00
3.1             	leftWall	7.55869931e-01	4.49814450e+01	1.34121843e+01
3.1             	lowerWall	1.87957254e+00	8.91350067e+01	3.03903286e+01
3.15            	rightWall	3.65754226e-01	3.26087131e+01	9.38124529e+00
3.15            	leftWall	7.24036357e-01	4.58348898e+01	1.38039421e+01
3.15            	lowerWall	1.48970398e+00	8.83579603e+01	3.06819813e+01
3.2             	rightWall	1.66305560e-01	3.22735040e+01	9.62133985e+00
3.2             	leftWall	7.68255530e-01	4.66375663e+01	1.41207296e+01
3.2             	lowerWall	9.33528804e-01	8.69219142e+01	3.11422964e+01
3.25            	rightWall	2.92956620e-01	3.18249674e+01	9.78882217e+00
3.25            	leftWall	7.40644809e-01	4.73476779e+01	1.44318711e+01
3.25            	lowerWall	8.41087635e-01	9.03234182e+01	3.14965441e+01
3.3             	rightWall	1.33134345e-01	3.16384885e+01	9.77147420e+00
